City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Noida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.38
Fatehpur Sikri,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3.33
Allahabad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.34
Lucknow,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.11
Garhwal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43
Sarnath,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4.5
Mathura,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.07
Old Delhi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.38
Agra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.07
Purnia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.8
Madhubani district,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3.33
Munger,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,4.0
Muzaffarnagar,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2.4
Pawapuri,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,4.0
Sitamarhi,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,4.5
Bhagalpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.7
Vaishali (ancient city),1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Sasaram,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3.75
Bodh Gaya,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Rajgir,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,4.26
Patna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.15
Sydney,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.82
Auckland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.6
Brisbane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Perth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Gold Coast  Queensland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.8
Queenstown  New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Fiji,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Byron Bay  New South Wales,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4.5
Melbourne,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Tahiti,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Rotorua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0
Port Moresby,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.0
Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Panaji,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.0
Benaulim,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,4.67
Arambol,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,4.5
Anjuna,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,4.27
Baga  Goa,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,4.19
Miramar  Goa,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,3.4
Colva,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.39
Calangute,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,4.46
Dona Paula,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,4.22
Margao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
St. Mary%27s Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.38
