City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Margao,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,4
St. Mary%27s Islands,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4.5
Makalidurga,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Bylakuppe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Dandeli,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,4
Badami,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.5
Sigandur,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5.0
Tumkur,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,3.5
Belgaum,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,4.5
Mysore,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,4
Hubli,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,4
Dudhsagar Falls,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,3.5
Srirangapatna,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4.0
Dharmasthala,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,4.5
Malpe,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Murdeshwar,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Karwar  Karnataka,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4.5
Kemmangundi,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3.5
Hampi,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,4
Gokarna  Karnataka,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,4.0
Kodagu district,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,4
Belur (town),0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Shravanabelagola,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Maravanthe,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2
Mangalore,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,4
Dakshina Kannada#South Canara,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,4.5
Bijapur,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,4
Bangalore,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,3.5
Shimoga,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,4.5
Hyderabad,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Secunderabad,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,2.5
Bhadrachalam,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Allagadda,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Tirumala,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,4.5
Srikalahasti,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Gandikota,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,4.5
Lepakshi,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4
Amaravati,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,4
Chittoor  Andhra Pradesh,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3
Tenali,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Nellore,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Tirupati,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,4.5
Machilipatnam,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.5
Bomdila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4.5
Visakhapatnam,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,4.5
Nagalapuram,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Warangal,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,4.5
Kurnool,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4.5
Kadapa,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,4.5
Rajahmundry,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,4.5
Munnar,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,4.5
Kannur,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.5
Kakkadampoyil,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Kodanad,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.5
Kalpetta,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4
Thrissur,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4
Guruvayur,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4.5
